douban_url,name,poster,rank,score,score_num,year
https://movie.douban.com/subject/1303021/,小鞋子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,74,9.2,377152,1997
https://movie.douban.com/subject/10777687/,7号房的礼物,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg,100,8.9,510344,2013
https://movie.douban.com/subject/1865703/,红辣椒,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg,96,9.1,413274,2006
https://movie.douban.com/subject/1300299/,杀人回忆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg,94,8.9,644497,2003
https://movie.douban.com/subject/1291544/,哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,93,8.9,642640,2004
https://movie.douban.com/subject/5322596/,超脱,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg,92,9.0,515197,2011
https://movie.douban.com/subject/1295644/,这个杀手不太冷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,5,9.4,2146037,1994
https://movie.douban.com/subject/1298070/,加勒比海盗,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg,95,8.8,796915,2003
https://movie.douban.com/subject/1297192/,致命ID,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg,91,8.8,751648,2003
https://movie.douban.com/subject/6985810/,狩猎,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg,98,9.1,354278,2012
https://movie.douban.com/subject/1297447/,倩女幽魂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg,125,8.8,678143,1987
https://movie.douban.com/subject/1305164/,甜蜜蜜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg,123,8.9,485575,1996
https://movie.douban.com/subject/1291543/,功夫,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,90,8.8,1001831,2004
https://movie.douban.com/subject/4202302/,借东西的小人阿莉埃蒂,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg,122,8.9,507266,2010
https://movie.douban.com/subject/21318488/,消失的爱人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg,121,8.7,855724,2014
https://movie.douban.com/subject/25814707/,小森林 冬春篇,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg,124,9.0,352133,2015
https://movie.douban.com/subject/1291990/,爱在日落黄昏时,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg,120,8.9,504588,2004
https://movie.douban.com/subject/1292337/,无人知晓,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg,119,9.1,290154,2004
https://movie.douban.com/subject/1300992/,完美的世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg,118,9.1,285189,1993
https://movie.douban.com/subject/1291875/,阳光灿烂的日子,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg,116,8.9,569677,1994
https://movie.douban.com/subject/11026735/,超能陆战队,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg,117,8.7,933556,2014
https://movie.douban.com/subject/1293359/,菊次郎的夏天,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg,115,8.9,546557,1999
https://movie.douban.com/subject/25814705/,小森林 夏秋篇,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg,114,9.0,394394,2014
https://movie.douban.com/subject/1306861/,我是山姆,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg,149,9.0,310057,2001
https://movie.douban.com/subject/4920389/,头号玩家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,150,8.7,1266645,2018
https://movie.douban.com/subject/1307315/,哪吒闹海,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg,147,9.1,236143,1979
https://movie.douban.com/subject/1316510/,射雕英雄传之东成西就,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg,145,8.7,588539,1993
https://movie.douban.com/subject/21360417/,恐怖直播,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2054744538.jpg,148,8.7,602508,2013
https://movie.douban.com/subject/6307447/,被解救的姜戈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg,143,8.8,561181,2012
https://movie.douban.com/subject/25986180/,釜山行,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg,142,8.6,1101871,2016
https://movie.douban.com/subject/4917726/,阳光姐妹淘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg,144,8.8,560594,2011
https://movie.douban.com/subject/1395091/,未麻的部屋,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,141,9.0,291748,1997
https://movie.douban.com/subject/3287562/,神偷奶爸,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg,140,8.6,881280,2010
https://movie.douban.com/subject/4268598/,告白,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg,139,8.8,631681,2010
https://movie.douban.com/subject/1309055/,哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p735391084.jpg,146,8.7,582412,2005
https://movie.douban.com/subject/1291822/,卢旺达饭店,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,162,8.9,301683,2004
https://movie.douban.com/subject/1418200/,傲慢与偏见,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg,138,8.7,729352,2005
https://movie.douban.com/subject/1295409/,纵横四海,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg,172,8.8,387455,1991
https://movie.douban.com/subject/1297574/,英雄本色,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg,171,8.6,490916,1986
https://movie.douban.com/subject/25917973/,心迷宫,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,170,8.7,473397,2014
https://movie.douban.com/subject/25895901/,海街日记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2603364117.jpg,173,8.8,408351,2015
https://movie.douban.com/subject/1293181/,惊魂记,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1021883305.jpg,168,9.0,256469,1960
https://movie.douban.com/subject/1291585/,风之谷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg,169,8.9,333542,1984
https://movie.douban.com/subject/1578507/,谍影重重3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg,167,8.8,389564,2007
https://movie.douban.com/subject/1297518/,九品芝麻官,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,164,8.7,602094,1994
https://movie.douban.com/subject/1292208/,上帝之城,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg,166,9.0,281670,2002
https://movie.douban.com/subject/1304447/,记忆碎片,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg,175,8.7,561576,2000
