,id,annId,title,content,attachPath,attachFormat,attachSize,_index,publishTime,secCode,secName,bondType,bigIndustryCode,bigCategoryId,smallCategoryId,channelCode
0,c77f8f23-5304-4f5c-addd-d71110b4204b,1215358447,22长安K1：重庆长安汽车股份有限公司2022年面向专业投资者公开发行科技创新公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-15/40d759bc-012a-4854-a4e9-8d5bef435873.PDF,PDF,3183,ows_disclosure-20180825,2022-12-15 00:00:00,['148147'],['22长安K1'],,,,,
0,a1d9ce9d-00e1-4b51-b6f2-08bb89bcfa89,1215357774,22大悦03：大悦城控股集团股份有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-14/c474ccea-9abc-49f1-9404-abb9584f568c.PDF,PDF,8962,ows_disclosure-20180825,2022-12-14 19:36:25,['148142'],['22大悦03'],,,,,
0,6831ab62-bb96-4dc1-b009-9ef76c96fceb,1215357775,22大悦03：大悦城控股集团股份有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-14/d89d7e47-0cbc-449b-8afe-9c0f5d6a4d65.PDF,PDF,4529,ows_disclosure-20180825,2022-12-14 19:36:25,['148142'],['22大悦03'],,,,,
0,c4cdd47a-2d43-4a52-9deb-e7c403d8c583,1215357770,22大悦02：大悦城控股集团股份有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-14/089a98ff-70ac-47fb-8539-772c58e5f182.PDF,PDF,4529,ows_disclosure-20180825,2022-12-14 19:36:24,['148141'],['22大悦02'],,,,,
0,9183e442-38e1-4ba4-b186-37baf089622a,1215357769,22大悦02：大悦城控股集团股份有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-14/3590e097-438e-4a1c-a90f-1c0491ad70a8.PDF,PDF,8962,ows_disclosure-20180825,2022-12-14 19:36:24,['148141'],['22大悦02'],,,,,
0,a396652d-3804-4978-987c-30f010922a7e,1215356224,GK润租Y1：华润融资租赁有限公司2022年面向专业投资者公开发行绿色科技创新可续期公司债券（第一期）（专项用于碳中和）募集说明书,,/disc/disk03/finalpage/2022-12-14/f984d2ce-c8ba-419c-b525-27d7b187b2eb.PDF,PDF,6758,ows_disclosure-20180825,2022-12-14 16:00:24,['148136'],['GK润租Y1'],,,,,
0,2bb5b95e-9491-41f8-b47b-60d129d10913,1215356225,GK润租Y1：华润融资租赁有限公司2022年面向专业投资者公开发行绿色科技创新可续期公司债券（第一期）（专项用于碳中和）募集说明书摘要,,/disc/disk03/finalpage/2022-12-14/c11d52f9-daea-4531-9ba1-f171f71408cc.PDF,PDF,1871,ows_disclosure-20180825,2022-12-14 16:00:24,['148136'],['GK润租Y1'],,,,,
0,42b143fe-650e-4e7e-98dc-f2c7d4b47c27,1215342031,22广电02：广州无线电集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-13/c5664dff-4213-4cca-bb74-6cd247016a5d.PDF,PDF,3207,ows_disclosure-20180825,2022-12-13 16:06:21,['148158'],['22广电02'],,,,,
0,396bbe45-be34-462e-9976-0f3ddd690a37,1215342030,22广电02：广州无线电集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-13/c0a87a83-ac1c-4684-99d1-a828e5ca533a.PDF,PDF,8560,ows_disclosure-20180825,2022-12-13 16:04:21,['148158'],['22广电02'],,,,,
0,b96ad114-3825-434c-a229-813d19462608,1215330889,22深投07：深圳市投资控股有限公司2022年面向专业投资者公开发行公司债券（第六期）募集说明书,,/disc/disk03/finalpage/2022-12-12/7220e40a-dfe0-493d-8429-7ba6177527c5.PDF,PDF,4984,ows_disclosure-20180825,2022-12-12 17:44:23,['148157'],['22深投07'],,,,,
